,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
2gsWK9fOkV2C7z7zPneO30,0.255,0.771,0.496,6.9e-06,9,-9.314,0.0299,130.538,0.665
54YvR3jlAJ3nnSCK1dWcwm,0.201,0.53,0.717,0.0,1,-6.073,0.0421,160.458,0.906
3FvUWoZecmbR2RGx4zYU3B,0.332,0.602,0.631,0.0,4,-7.371,0.033,138.387,0.472
4HdxI4yrlmN2C9GaMD9mxL,0.204,0.676,0.911,0.0,1,-2.514,0.0264,108.011,0.886
2ZxTjs4EdJl4Y9YByIiNoo,0.143,0.375,0.574,0.0,7,-5.305,0.0315,132.025,0.406
2mfahQ0EaaZWq4cFNg6A1o,0.14,0.634,0.668,0.0,5,-5.488,0.0291,80.989,0.635
5HnXcJJbNXQQ7tRlQ9VN1v,0.16,0.711,0.696,0.0,7,-5.05,0.0871,80.512,0.694
52ioLaTnO2J7BWY8UN2n9D,0.0422,0.638,0.441,1.33e-05,2,-9.064,0.0347,76.078,0.473
19slC7k8bsPOAKDjHYLU2W,0.61,0.495,0.343,9.45e-05,7,-11.549,0.0355,135.882,0.453
4bWlAEbGHhPKQNjhTstN2p,0.24,0.453,0.412,0.00021,1,-7.539,0.0276,75.752,0.282
61voPX1C71rhwynuLQyajo,0.0223,0.745,0.805,1.06e-06,2,-5.549,0.0307,126.065,0.765
63QCk4cHK1jEdCJsGqOx0D,0.0142,0.557,0.737,0.0,3,-5.75,0.0476,158.05,0.817
6ERR6e7h6wCqGoz1TjiUJb,0.129,0.739,0.682,0.0,2,-3.728,0.205,131.983,0.634
0oVWPlnK5eAqnJCVB0FvpP,0.193,0.565,0.541,3.45e-06,9,-8.426,0.0376,82.006,0.226
3yMVUGqVK5iTTkA8kGChH2,0.0385,0.595,0.823,1.35e-06,2,-5.864,0.0483,108.99,0.745
78RLlRIfPuoSvWPUbJmK6s,0.00696,0.658,0.704,0.0,7,-6.512,0.0283,123.02,0.612
0mMR63GfhjpxT02rIdq5Mz,0.0339,0.447,0.896,0.0,9,-5.57,0.173,173.852,0.533
5jFid6SUnYqohvNvNuZvIz,0.0316,0.558,0.896,0.0,0,-3.687,0.0545,90.064,0.63
62aetSt8vAwjQ3TSW0vHku,0.0276,0.629,0.892,0.0,0,-2.992,0.046,99.022,0.773
7vSn3VNbzOtPebdj6ZSebj,0.0613,0.566,0.898,0.0,9,-3.659,0.0634,115.954,0.791
5ZuTYT8bW7HmsjqNDm7TrP,0.0233,0.681,0.91,0.000574,9,-5.22,0.0358,116.96,0.918
5cQIrML7iJEUsOCNsHqWlB,0.0159,0.674,0.943,0.0,0,-3.413,0.0408,118.06,0.856
3OMpIoONQH8rSscaZLozFQ,0.103,0.378,0.903,0.000285,7,-4.538,0.0533,115.616,0.457
7xJqaCgeteqWPogqjjxkBl,0.0721,0.487,0.938,2.63e-05,4,-5.466,0.0533,157.795,0.733
3wx2kQWPn9p5UppQbNhPAk,0.0951,0.514,0.951,0.0,9,-3.813,0.0603,171.96,0.838
4l8u5h7OjkZo2UmyUoeKYJ,0.093,0.709,0.811,1.08e-05,7,-6.603,0.0323,132.728,0.735
1N9GGOUf8TQqsaPDByZzEF,0.198,0.757,0.69,0.0,9,-8.645,0.0286,128.654,0.867
59tUXZ9dL0qkaa18WCfUnZ,0.29,0.579,0.878,0.0,2,-5.396,0.145,165.972,0.88
2rxQMGVafnNaRaXlRMWPde,0.676,0.552,0.402,0.0,11,-7.431,0.0262,103.313,0.382
7yrJnekdlwWARt5lmVqJ6L,0.3,0.672,0.721,1.98e-06,7,-5.557,0.0246,99.978,0.812
6uVzeU47Qzg0rrMneP5BNg,0.00566,0.6,0.851,9.78e-06,11,-4.645,0.0388,98.007,0.727
63WN7V4TxHV9vrlqX7sjpR,0.137,0.569,0.901,0.0,3,-4.965,0.0527,166.106,0.95
21LRaD9rB3v7p7DDCZsW4y,0.0468,0.604,0.879,0.0,4,-3.388,0.0322,137.983,0.757
6foY66mWZN0pSRjZ408c00,0.369,0.614,0.68,1.84e-06,6,-4.58,0.0289,149.959,0.707
2ojsE7uptG3qk3yTDV0iCX,0.363,0.756,0.796,1.56e-06,1,-5.047,0.039,92.008,0.817
3d1qN7AHge6BXuVPutcpI5,0.341,0.56,0.736,9.81e-06,0,-7.306,0.0446,79.843,0.824
4o8STNAL91xc7EvuvqSKk1,0.443,0.686,0.576,1.7e-05,1,-6.632,0.0284,83.971,0.72
3ts6xK5GzfMAAriT9AIBmP,0.208,0.6,0.808,0.0,4,-4.679,0.0403,172.016,0.809
3y1t2sEahs8idFz2tiYNPO,0.254,0.523,0.834,0.0,6,-3.561,0.0281,92.99,0.445
7kaVqrNf9L90pCslMxE9zP,0.0636,0.593,0.805,0.0,5,-4.892,0.0346,103.955,0.845
6o1Z2MVv2byORiceryikjj,0.0352,0.518,0.865,0.0,7,-4.238,0.0338,87.019,0.545
3MFV4DgrAOXz6KURPQxRj9,0.00535,0.584,0.866,2.92e-05,10,-5.511,0.0419,118.005,0.499
0AdjJ2SaOeb5bPJ67nDbsW,0.356,0.524,0.586,0.0,9,-5.431,0.0262,101.214,0.285
0OAsUPA8qPzP0Qmo5iMr54,0.0374,0.449,0.903,0.0,9,-5.512,0.181,173.924,0.542
