,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
54Ka3UbuleZljUHYmPMEmL,0.0133,0.82,0.544,0.0469,8,-9.565,0.0376,112.029,0.288
23r3roWhwTm85xVIHkxloH,0.0167,0.686,0.77,0.899,2,-8.538,0.0516,124.022,0.511
31afG7lOsKwB1upGFYS2iP,0.00554,0.884,0.62,0.000199,3,-7.166,0.0972,119.992,0.796
7ruylcpwEbeCl3HfB9SSyM,0.00753,0.87,0.664,0.341,9,-7.878,0.062,125.029,0.854
5vTtANNlQK5UhwfooDek5y,0.839,0.68,0.703,0.0218,7,-3.36,0.0439,102.289,0.193
46YgxHQSY7n35YcF64rKrD,0.00052,0.627,0.723,0.712,2,-2.065,0.0512,99.937,0.231
4pCvnGkf7jveRMKHZosxxB,0.00207,0.844,0.682,0.797,2,-9.556,0.0453,99.99,0.352
4asQ5mh9ICeo3IatRJKKIt,0.069,0.814,0.894,0.317,9,-5.075,0.0437,95.003,0.676
2HiH7eMk9aokfnIEFzWiMq,0.00189,0.628,0.877,0.0,10,-3.016,0.041,142.034,0.199
71NOmiKvk7s5R7dUurNjuy,0.00235,0.926,0.953,0.442,6,-5.531,0.0911,123.983,0.927
5nQRjPmBn5foHzXI78qv5K,0.00239,0.527,0.566,0.0191,2,-8.021,0.284,94.859,0.397
5w6rgrtYFhC6NkUknX1exC,0.0189,0.824,0.907,2.25e-05,11,-1.12,0.138,104.917,0.417
2GQEM9JuHu30sGFvRYeCxz,0.00843,0.867,0.477,0.175,9,-7.183,0.049,124.979,0.614
6r7FXNO57mlZCBY6PXcZZT,0.0197,0.88,0.821,0.661,5,-2.545,0.118,127.907,0.575
1A8j067qyiNwQnZT0bzUpZ,0.0927,0.792,0.717,3.59e-05,0,-4.759,0.0393,121.985,0.466
3de3pLWU48fpTNlSuM6tyR,0.0464,0.718,0.747,0.641,11,-4.932,0.0409,125.982,0.325
4rCW7SRjt3knEGRNqIZCmu,0.00119,0.599,0.796,0.128,0,-6.865,0.0378,124.012,0.646
2jGOdM8D2EPm0ynPcbljq5,0.00575,0.707,0.611,0.764,0,-3.708,0.029,100.999,0.235
